X,Y,OBJECTID,DFGCONTROL,OESNUMBER,DATEOFINCI,TIMEOFINCI,INLANDMARI,SPECIFICLO,WATER,WATERWAY,LOCALECITY,LOCALECOUN,LATITUDE,LONGITUDE
-13018479.5942,4018966.0035,17,08FG0739,08-1276,2008/02/10 00:00:00+00,1040,Inland,Fresh Water,Yes,Storm Channel,Beaumont,Riverside,33.926711,-116.94698
-13019047.3266,4060736.2811,18,08FG2259,08-4918,2008/07/03 00:00:00+00,0915,Inland,Fresh Water,Yes,Big Bear Lake,Big Bear Lake,San Bernardino,34.237488,-116.95208
-13019692.0785,3895499.1898,19,08FG1242,08-2386,2008/03/28 00:00:00+00,0230,Inland,Fresh Water,Yes, ,Poway,San Diego,33.001466,-116.957872
-13020852.5823,3861520.2149,20,08FG3813,08-8634,2008/12/03 00:00:00+00,1057,Inland,Fresh Water,Yes,Storm Drain,Spring Valley,San Diego,32.745105,-116.968297
-13020975.6036,4066799.9906,21,08FG2521,08-5545,2008/07/30 00:00:00+00,0900,Inland,Fresh Water,Yes,seasonal dry creek,Fawnskin,San Bernardino,34.282508,-116.969402
-13021253.3312,3837245.703,22,08FG3844,08-8718,2008/12/06 00:00:00+00,0815,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.561508,-116.971897
-13024247.5124,4148854.2666,23,08FG1861,08-3776,2008/05/27 00:00:00+00,1130,Inland,Fresh Water,Yes,Storm Drain to Mojave River Dry Bed,Barstow,San Bernardino,34.889344,-116.998794
-13024608.6222,3992491.8665,24,08FG0927,08-1637,2008/02/26 00:00:00+00,2000,Inland,Fresh Water,Yes,Storm Drain,Hemet,Riverside,33.72915,-117.002038
-13025716.5774,3867376.7999,25,08FG2893,08-6393,2008/09/01 00:00:00+00,1115,Inland,Fresh Water,Yes,Alvarado Closed Drainage Creek,La Mesa,San Diego,32.789344,-117.011991
-13026150.389,3857760.9514,26,08FG2075,08-4258,2008/06/15 00:00:00+00,2100,Inland,Fresh Water,Yes,Storm Drain that leads to unknown location.,Spring Valley,San Diego,32.716697,-117.015888
-13026570.6393,4149945.7218,27,08FG2080,08-4269,2008/06/16 00:00:00+00,1435,Inland,Fresh Water,Yes,contained in the Storm drain,Barstow,San Bernardino,34.897386,-117.019663
-13026904.3557,3853996.1398,28,08FG0612,08-1017,2008/02/02 00:00:00+00,0925,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.688238,-117.022661
-13028203.6773,3857452.1436,29,08FG0304,08-0508,2008/01/17 00:00:00+00,0530,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.714363,-117.034333
-13028339.1526,3849089.7559,30,08FG2044,08-4206,2008/06/13 00:00:00+00,1107,Inland,Fresh Water,Yes,Storm drain that leads to unknown location.,Chula Vista,San Diego,32.651136,-117.03555
-13028397.8192,3868384.2792,31,08FG2646,08-5833,2008/08/11 00:00:00+00,2137,Inland,Fresh Water,Yes,Contained at the storm channel,San Diego,San Diego,32.796952,-117.036077
-13028971.1159,3889534.6453,32,08FG1641,08-3274,2008/05/05 00:00:00+00,1030,Inland,Fresh Water,Yes,Storm Drain catch Basin,Poway,San Diego,32.956519,-117.041227
-13029810.3514,3852584.2644,33,09FG0015,09-0028,2008/12/30 00:00:00+00,0800,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.677563,-117.048766
-13030117.704,3841638.8617,34,08FG1478,08-2933,2008/04/21 00:00:00+00,0130,Inland,Fresh Water,Yes,Storm Drain,Chula Vista,San Diego,32.594763,-117.051527
-13030304.8373,3926706.0555,35,08FG3743,08-8489,2008/11/27 00:00:00+00,0030,Inland,Fresh Water,Yes,Storm Drain,Valley Center,San Diego,33.236258,-117.053208
-13030595.829,3966388.6991,36,08FG3822,08-8658,2008/11/29 00:00:00+00,1000,Inland,Fresh Water,Yes,Storm Drain to unknown location,Temecula,Riverside,33.533911,-117.055822
-13030828.9248,3848661.9223,37,08FG0741,08-1278,2008/02/12 00:00:00+00,1115,Inland,Fresh Water,Yes,storm drain,Chula Vista,San Diego,32.6479,-117.057916
-13031108.4492,3868067.2473,38,08FG0203,08-0300,2008/01/07 00:00:00+00,1757,Inland,Fresh Water,Yes,Storm drain leading to unknown location,San Diego,San Diego,32.794558,-117.060427
-13031644.3398,3842717.6178,39,08FG2666,08-5887,2008/08/13 00:00:00+00,1100,Inland,Fresh Water,Yes,Channel drains to Otay River,Chula Vista,San Diego,32.602927,-117.065241
-13031755.3249,3835264.2609,40,08FG2358,08-5165,2008/07/13 00:00:00+00,2350,Inland,Fresh Water,Yes,Concrete lined channel of the Tijuana River and th,San Diego,San Diego,32.546505,-117.066238
-13031910.9594,3993487.4878,41,08FG3018,08-6713,2008/09/13 00:00:00+00,1900,Inland,Fresh Water,Yes,Storm Drain,Winchester,Riverside,33.736588,-117.067636
-13032049.4359,3915159.498,42,08FG1990,08-4089,2008/06/08 00:00:00+00,0600,Inland,Fresh Water,Yes,Storm Drain and contained in the storm drain,Escondido,San Diego,33.149458,-117.06888
-13032284.7594,3815353.3161,43,08FG0942,08-1716,2008/02/29 00:00:00+00,0945,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.395605,-117.070994
-13032359.5814,4058293.3955,44,08FG0911,08-1605,2008/02/26 00:00:00+00,0920,Inland,Fresh Water,Yes,Dry Creek/Deep Creek,Green Valley Lake,San Bernardino,34.219344,-117.071666
-13032585.658,3850028.7695,45,08FG3725,08-8459,2008/11/26 00:00:00+00,0238,Inland,Fresh Water,Yes,Storm Drain in Center Divide,Chula Vista,San Diego,32.658238,-117.073697
-13032723.5807,3812737.42,46,08FG1123,08-2139,2008/03/18 00:00:00+00,1033,Marine,Marine,Yes,San Diego Harbor,Coronado,San Diego,32.375761,-117.074936
-13032876.6499,3895117.5807,47,08FG1890,08-3869,2008/05/30 00:00:00+00,0953,Inland,Fresh Water,Yes,Storm Drain/Golf Course,San Diego,San Diego,32.998591,-117.076311
-13033086.5955,3845690.5201,48,08FG0034,08-0019,2008/01/02 00:00:00+00,1235,Inland,Fresh Water,Yes,Storm Drain,Chula Vista,San Diego,32.625422,-117.078197
-13033123.6689,3910967.6555,49,08FG3152,08-7017,2008/09/27 00:00:00+00,1321,Inland,Fresh Water,Yes,"Storm Drain, runs to Escondido Creek",Escondido,San Diego,33.117925,-117.07853
-13033298.3236,3817616.7858,50,08FG2023,08-4152,2008/06/11 00:00:00+00,0656,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.412772,-117.080099
-13033576.7365,3865054.9457,51,08FG2752,08-6067,2008/08/19 00:00:00+00,2005,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.771808,-117.0826
-13033672.8023,3816040.473,52,08FG0838,08-1481,2008/02/21 00:00:00+00,0930,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.400817,-117.083463
-13033676.9237,3859226.7729,53,08FG1907,08-3899,2008/05/31 00:00:00+00,1339,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.727775,-117.0835
-13033799.6012,3913272.032,54,08FG3442,08-7758,2008/10/27 00:00:00+00,2015,Inland,Fresh Water,Yes,storm drian,Escondido,San Diego,33.135261,-117.084602
-13033805.4981,3864879.9249,55,08FG1265,08-2445,2008/03/31 00:00:00+00,0100,Inland,Fresh Water,Yes,Manhole/Waste Water System,San Diego,San Diego,32.770486,-117.084655
-13033957.0068,3911534.2698,56,08FG3735,08-8477,2008/11/26 00:00:00+00,1345,Inland,Fresh Water,Yes,Storm Drain,Escondido,San Diego,33.122188,-117.086016
-13034096.8235,3900802.7753,57,08FG2538,08-5576,2008/07/31 00:00:00+00,0830,Inland,Fresh Water,Yes,unknown,San Diego,San Diego,33.041413,-117.087272
-13034108.29,3910161.7096,58,08FG1110,08-2114,2008/03/17 00:00:00+00,1245,Inland,Fresh Water,Yes,Storm drain,Escondido,San Diego,33.111861,-117.087375
-13034141.3481,3849073.89,59,08FG1595,08-3185,2008/05/01 00:00:00+00,1320,Inland,Fresh Water,Yes,storm drain/storm channel,Chula Vista,San Diego,32.651016,-117.087672
-13034158.6058,3901063.9873,60,08FG1977,08-4059,2008/06/06 00:00:00+00,1041,Inland,Fresh Water,Yes,Lake Hodges,San Diego,San Diego,33.04338,-117.087827
-13034437.5701,3862237.585,61,08FG0786,08-1371,2008/02/15 00:00:00+00,1224,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.750525,-117.090333
-13034771.5277,3846673.8104,62,08FG1070,08-2018,2008/03/12 00:00:00+00,2040,Inland,Fresh Water,Yes,Storm Drain,Chula Vista,San Diego,32.632861,-117.093333
-13034814.4971,3847798.8986,63,08FG1414,08-2773,2008/04/14 00:00:00+00,0030,Inland,Fresh Water,Yes,seasonal pond,Chula Vista,San Diego,32.641372,-117.093719
-13035002.848,3819011.8418,64,08FG1244,08-2391,2008/03/28 00:00:00+00,0815,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.423351,-117.095411
-13035054.7262,3873415.5505,65,08FG0229,08-0355,2008/01/10 00:00:00+00,1730,Inland,Fresh Water,Yes,"Storm Drain, unknown where it runs to",San Diego,San Diego,32.834936,-117.095877
-13035182.185,3839938.2097,66,08FG1154,08-2218,2008/03/20 00:00:00+00,1415,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.581891,-117.097022
-13035440.0026,3867255.7699,67,08FG4057,08-9160,2008/12/26 00:00:00+00,1012,Inland,Fresh Water,Yes,San Deigo River,San Diego,San Diego,32.78843,-117.099338
-13035612.8805,3844928.2915,68,08FG3459,08-7797,2008/10/29 00:00:00+00,1425,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.619655,-117.100891
-13035630.4675,3819090.5732,69,08FG1799,08-3634,2008/05/20 00:00:00+00,1123,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.423948,-117.101049
-13035634.2539,3845171.3481,70,08FG2008,08-4123,2008/06/10 00:00:00+00,0825,Marine,Marine,Yes,Chula Vista Bay,Chula Vista,San Diego,32.621494,-117.101083
-13035668.2077,3868015.3363,71,08FG3937,08-8907,2008/12/15 00:00:00+00,0230,Inland,Fresh Water,Yes,San Diego River,San Diego,San Diego,32.794166,-117.101388
-13035680.6763,3881775.7381,72,08FG1519,08-3026,2008/04/24 00:00:00+00,1218,Inland,Fresh Water,Yes,contained in a dry creek bed and dirt removed alon,San Diego,San Diego,32.898016,-117.1015
-13035819.4894,3845137.5128,73,08FG2273,08-4943,2008/07/06 00:00:00+00,1100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.621238,-117.102747
-13035827.8384,3845153.373,74,08FG1584,08-3169,2008/05/01 00:00:00+00,0800,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.621358,-117.102822
-13035835.8534,3845312.3734,75,08FG1780,08-3594,2008/05/18 00:00:00+00,1730,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.622561,-117.102894
-13035861.7909,3845625.8866,76,08FG3637,08-8244,2008/11/16 00:00:00+00,1900,Marine,Marine,Yes,San Diego,Chula Vista,San Diego,32.624933,-117.103127
-13035861.7909,3845625.8866,77,08FG2404,08-5283,2008/07/16 00:00:00+00,0738,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.624933,-117.103127
-13035861.7909,3845625.8866,78,08FG2955,08-6537,2008/09/08 00:00:00+00,0730,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.624933,-117.103127
-13035861.7909,3845625.8866,79,08FG2573,08-5660,2008/08/04 00:00:00+00,1830,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.624933,-117.103127
-13035861.7909,3845625.8866,80,08FG3584,08-8101,2008/11/11 00:00:00+00,0715,Marine,Marine,Yes,San Diego Harbor,Chula Vista,San Diego,32.624933,-117.103127
-13035861.7909,3845625.8866,81,08FG3373,08-7580,2008/10/21 00:00:00+00,0900,Marine,Marine,Yes,Chula Vista Marina,Chula Vista,San Diego,32.624933,-117.103127
-13035869.5833,3845687.6121,82,08FG1580,08-3158,2008/04/30 00:00:00+00,1845,Marine,Marine,Yes,Chula Vista Marina,Chula Vista,San Diego,32.6254,-117.103197
-13036159.2351,3818778.6836,83,08FG1935,08-3953,2008/06/03 00:00:00+00,0950,Marine,Marine,Yes,San Diego Bay,Coronado,San Diego,32.421583,-117.105799
-13036159.2351,3818722.6367,84,08FG2859,08-6330,2008/08/29 00:00:00+00,1400,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.421158,-117.105799
-13036159.2351,3818778.6836,85,08FG1941,08-3969,2008/06/03 00:00:00+00,1600,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.421583,-117.105799
-13036223.5913,4034166.3774,86,08FG0233,08-0362,2008/01/09 00:00:00+00,1300,Inland,Fresh Water,Yes,Storm drain,Yucaipa,San Bernardino,34.039936,-117.106377
-13036317.6444,3847323.6543,87,08FG2175,08-4541,2008/06/24 00:00:00+00,1200,Marine,Marine,Yes,Pacific Ocean,Chula Vista,San Diego,32.637777,-117.107222
-13036504.999,3911508.4836,88,08FG2241,08-4883,2008/07/02 00:00:00+00,0900,Inland,Fresh Water,Yes,storm drain,Escondido,San Diego,33.121994,-117.108905
-13036524.4762,3849067.6759,89,08FG2628,08-5788,2008/08/10 00:00:00+00,0930,Marine,Marine,Yes,San Diego Harbor,National City,San Diego,32.650969,-117.10908
-13036738.2089,3835408.8656,90,08FG0555,08-0918,2008/01/29 00:00:00+00,1130,Marine,Marine,Yes,Pacific Ocean,Imperial Beach,San Diego,32.5476,-117.111
-13036889.7161,3860559.2435,91,08FG2550,08-5619,2008/08/02 00:00:00+00,0121,Inland,Fresh Water,Yes,"Storm Drain, unknown where it leads",San Diego,San Diego,32.737844,-117.112361
-13037341.1187,3891832.2808,92,08FG2733,08-6024,2008/08/18 00:00:00+00,1009,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.973836,-117.116416
-13037394.3271,3853349.367,93,08FG0346,08-0600,2008/01/21 00:00:00+00,1545,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.683348,-117.116894
-13037396.2191,3845213.51,94,08FG0259,08-0419,2008/01/14 00:00:00+00,0930,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.621813,-117.116911
-13037431.1756,3882496.2012,95,08FG1240,08-2381,2008/03/27 00:00:00+00,1545,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.90345,-117.117225
-13037779.7132,3820306.0313,96,08FG0398,08-0700,2008/01/25 00:00:00+00,1130,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.433164,-117.120356
-13037865.5424,3851682.4715,97,08FG0602,08-0991,2008/02/01 00:00:00+00,0900,Marine,Marine,Yes,Palletta Creek,San Diego,San Diego,32.670744,-117.121127
-13037879.4624,3932965.2699,98,08FG2512,08-5514,2008/07/26 00:00:00+00,0800,Inland,Fresh Water,Yes,unknown dry creek,Valley Center,San Diego,33.283275,-117.121252
-13038043.6537,3851153.1187,99,08FG3209,08-7160,2008/10/03 00:00:00+00,1045,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038043.6537,3851153.1187,100,08FG2053,08-4219,2008/06/14 00:00:00+00,0830,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.666741,-117.122727
-13038043.6537,3851153.1187,101,08FG3979,08-9003,2008/12/18 00:00:00+00,1445,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038043.6537,3851153.1187,102,08FG1509,08-2996,2008/04/23 00:00:00+00,1200,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038043.6536,3851557.2389,103,08FG2812,08-6198,2008/08/25 00:00:00+00,0950,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.669797,-117.122727
-13038043.6537,3851153.1187,104,08FG2922,08-6467,2008/09/04 00:00:00+00,1115,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038072.1518,3857095.3176,105,08FG0777,08-1353,2008/02/15 00:00:00+00,0200,Inland,Fresh Water,Yes,Storm drain,San Diego,San Diego,32.711666,-117.122983
-13038095.9737,3850539.6916,106,08FG4084,08-9222,2008/12/29 00:00:00+00,1250,Marine,Marine,Yes,"San Diego Harbor, Tributary of Pacific Ocean",Unincorporated county area,San Diego,32.662102,-117.123197
-13038107.6624,3851464.6709,107,08FG1710,08-3441,2008/05/12 00:00:00+00,1104,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.669097,-117.123302
-13038107.6624,3851464.6709,108,08FG1809,08-3672,2008/05/21 00:00:00+00,2100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.669097,-117.123302
-13038111.1129,3845708.0991,109,08FG2388,08-5234,2008/07/17 00:00:00+00,0000,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.625555,-117.123333
-13038138.2753,3851535.1548,110,08FG0477,08-0790,2008/01/26 00:00:00+00,1200,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.66963,-117.123577
-13038140.8356,3850773.7396,111,08FG4019,08-9092,2008/12/23 00:00:00+00,0930,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663872,-117.1236
-13038140.8356,3850773.7396,112,08FG2936,08-6499,2008/09/05 00:00:00+00,1700,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663872,-117.1236
-13038140.8356,3850773.7396,113,08FG3712,08-8441,2008/11/25 00:00:00+00,1205,Marine,Marine,Yes,Pacific,San Diego,San Diego,32.663872,-117.1236
-13038140.8356,3850773.7396,114,08FG3085,08-6859,2008/09/21 00:00:00+00,0830,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663872,-117.1236
-13038140.8356,3850773.7396,115,08FG2467,08-5420,2008/07/25 00:00:00+00,0700,Marine,Marine,Yes,32nd Street Base Pier 10,San Diego,San Diego,32.663872,-117.1236
-13038161.541,3850780.7479,116,08FG3003,08-6672,2008/09/12 00:00:00+00,0825,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663925,-117.123786
-13038178.3503,3852225.205,117,08FG2527,08-5557,2008/07/30 00:00:00+00,1115,Marine,Marine,Yes,"San Diego Bay, Tributary of Pacific Ocean",San Diego,San Diego,32.674848,-117.123937
-13038295.6811,3851802.9445,118,08FG2017,08-4142,2008/06/10 00:00:00+00,1535,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.671655,-117.124991
-13038295.6811,3851802.9445,119,08FG2210,08-4130,2008/06/10 00:00:00+00,0800,Marine,Marine,Yes,"San Diego Harbor, Tributary of Pacific Ocean",San Diego,San Diego,32.671655,-117.124991
-13038296.683,3852377.5557,120,08FG1664,08-3329,2008/05/06 00:00:00+00,1200,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676,-117.125
-13038296.683,3852377.5557,121,08FG1835,08-3729,2008/05/24 00:00:00+00,1025,Marine,Marine,Yes,San Diego Harbor,Coronado,San Diego,32.676,-117.125
-13038310.3752,3852473.9661,122,08FG1745,08-3515,2008/05/15 00:00:00+00,0745,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676729,-117.125123
-13038373.0483,3854019.6827,123,08FG2108,08-4345,2008/06/19 00:00:00+00,0715,Marine,Marine,Yes,San Diego Bay.,San Diego,San Diego,32.688416,-117.125686
-13038373.6048,3853364.3123,124,08FG0209,08-0313,2008/01/09 00:00:00+00,0800,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.683461,-117.125691
-13038373.6048,3853364.3123,125,08FG0231,08-0358,2008/01/11 00:00:00+00,0815,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.683461,-117.125691
-13038377.9463,3852433.762,126,08FG3623,08-8212,2008/11/14 00:00:00+00,1500,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,127,08FG2984,08-6630,2008/09/10 00:00:00+00,1402,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,128,08FG2820,08-6215,2008/08/26 00:00:00+00,0830,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,129,08FG1746,08-3516,2008/05/09 00:00:00+00,1215,Marine,Marine,Yes,San Diego,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,130,08FG0759,08-1311,2008/02/13 00:00:00+00,1100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,131,08FG2935,08-6495,2008/09/05 00:00:00+00,0900,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,132,08FG2239,08-4880,2008/07/02 00:00:00+00,1330,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,133,08FG3277,08-7310,2008/10/09 00:00:00+00,0830,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.9463,3852433.762,134,08FG4105,08-9272,2008/12/31 00:00:00+00,0830,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038483.2545,3853020.307,135,08FG1699,08-3415,2008/05/11 00:00:00+00,0645,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.68086,-117.126676
-13038528.8955,3852335.2358,136,08FG2078,08-4266,2008/06/16 00:00:00+00,1442,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.67568,-117.127086
-13038544.0346,3847764.3946,137,08FG3934,08-8902,2008/12/14 00:00:00+00,1600,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.641111,-117.127222
-13038582.9968,3853710.7084,138,08FG2351,08-5140,2008/07/13 00:00:00+00,1900,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.68608,-117.127572
-13038589.4533,3853247.1298,139,08FG1740,08-3501,2008/05/14 00:00:00+00,1500,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.682575,-117.12763
-13038630.6416,3852509.8062,140,08FG1950,08-3994,2008/06/04 00:00:00+00,1415,Marine,Marine,Yes,"Deck  Drain, runs to San Diego Bay",San Diego,San Diego,32.677,-117.128
-13038645.8924,3853192.7712,141,08FG0696,08-1188,2008/02/08 00:00:00+00,0930,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.682164,-117.128137
-13038655.0205,3852570.3774,142,08FG3683,08-8370,2008/11/21 00:00:00+00,1545,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,143,08FG3675,08-8341,2008/11/20 00:00:00+00,0800,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,144,08FG3208,08-7158,2008/10/03 00:00:00+00,1030,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,145,08FG2979,08-6619,2008/09/10 00:00:00+00,1145,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,146,08FG3863,08-8756,2008/12/08 00:00:00+00,1000,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,147,08FG3971,08-8985,2008/12/17 00:00:00+00,2030,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,148,08FG1441,08-2832,2008/04/16 00:00:00+00,0645,Marine,Marine,Yes,Pacific Ocean,Oceanside,San Diego,32.677458,-117.128219
-13038655.0169,3791040.2542,149,08FG1443,08-2840,2008/04/16 00:00:00+00,1100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.211,-117.128219
-13038655.0205,3852570.3774,150,08FG3521,08-7939,2008/11/04 00:00:00+00,0950,Marine,Marine,Yes,San Deigo Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,151,08FG3539,08-8004,2008/11/06 00:00:00+00,1030,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.0205,3852570.3774,152,08FG3790,08-8585,2008/12/01 00:00:00+00,1322,Marine,Marine,Yes,San Diego Bay,Unincorporated county area,San Diego,32.677458,-117.128219
